Started at: 10:31:08

📌 Processing: /DATA/rohan_kirti/country/pakistan/SBQ/Pakistan_SBQ.xlsx
✅ Saved → SBQ | Malakhra | Row 0
  "improved_options": [
    "A) کامان لمبا ہوتا ہے،",
    "B) کامان دو ہاتھ والے انداز میں استعمال ہوتا ہے، جبکہ شیللاگ عام طور پر ایک ہاتھ کی ہوتا ہے،",
    "C) شیللاگ کے سرے پر ایک دستہ ہوتا ہے،",
    "D) B اور C دونوں"
  ],
  "correct_answer": "D) B اور C دونوں"
}
✅ Saved → SBQ | Gatka | Row 144
✅ Saved → SBQ | Gatka | Row 146
✅ Saved → SBQ | Gatka | Row 147
✅ Saved → SBQ | Gatka | Row 148
✅ Saved → SBQ | Gatka | Row 149
✅ Saved → SBQ | Gilli Danda | Row 0
✅ Saved → SBQ | Gilli Danda | Row 1
✅ Saved → SBQ | Gilli Danda | Row 2
✅ Saved → SBQ | Gilli Danda | Row 3
✅ Saved → SBQ | Gilli Danda | Row 4
✅ Saved → SBQ | Gilli Danda | Row 5
✅ Saved → SBQ | Gilli Danda | Row 6
✅ Saved → SBQ | Gilli Danda | Row 7
✅ Saved → SBQ | Gilli Danda | Row 8
✅ Saved → SBQ | Gilli Danda | Row 9
✅ Saved → SBQ | Gilli Danda | Row 10
✅ Saved → SBQ | Gilli Danda | Row 11
✅ Saved → SBQ | Gilli Danda | Row 12
✅ Saved → SBQ | Gilli Danda | Row 13
✅ Saved → SBQ | Gilli Danda | Row 14
✅ Saved → SBQ | Gilli Danda | Row 15
✅ Saved → SBQ | Gilli Danda | Row 16
✅ Saved → SBQ | Gilli Danda | Row 17
✅ Saved → SBQ | Gilli Danda | Row 18
✅ Saved → SBQ | Gilli Danda | Row 19
✅ Saved → SBQ | Gilli Danda | Row 20
✅ Saved → SBQ | Gilli Danda | Row 21
✅ Saved → SBQ | Gilli Danda | Row 22
✅ Saved → SBQ | Gilli Danda | Row 23
✅ Saved → SBQ | Gilli Danda | Row 24
✅ Saved → SBQ | Gilli Danda | Row 25
✅ Saved → SBQ | Gilli Danda | Row 26
✅ Saved → SBQ | Gilli Danda | Row 27
✅ Saved → SBQ | Gilli Danda | Row 28
✅ Saved → SBQ | Gilli Danda | Row 29
✅ Saved → SBQ | Gilli Danda | Row 30
✅ Saved → SBQ | Gilli Danda | Row 31
✅ Saved → SBQ | Gilli Danda | Row 32
✅ Saved → SBQ | Gilli Danda | Row 33
✅ Saved → SBQ | Gilli Danda | Row 34
✅ Saved → SBQ | Gilli Danda | Row 35
✅ Saved → SBQ | Gilli Danda | Row 36
✅ Saved → SBQ | Gilli Danda | Row 37
✅ Saved → SBQ | Gilli Danda | Row 38
✅ Saved → SBQ | Gilli Danda | Row 39
✅ Saved → SBQ | Gilli Danda | Row 40
✅ Saved → SBQ | Gilli Danda | Row 41
✅ Saved → SBQ | Gilli Danda | Row 42
✅ Saved → SBQ | Gilli Danda | Row 43
✅ Saved → SBQ | Gilli Danda | Row 44
✅ Saved → SBQ | Gilli Danda | Row 45
✅ Saved → SBQ | Gilli Danda | Row 46
✅ Saved → SBQ | Gilli Danda | Row 47
✅ Saved → SBQ | Gilli Danda | Row 48
✅ Saved → SBQ | Gilli Danda | Row 49
✅ Saved → SBQ | Gilli Danda | Row 50
✅ Saved → SBQ | Gilli Danda | Row 51
✅ Saved → SBQ | Gilli Danda | Row 52
✅ Saved → SBQ | Gilli Danda | Row 53
✅ Saved → SBQ | Gilli Danda | Row 54
✅ Saved → SBQ | Gilli Danda | Row 55
✅ Saved → SBQ | Gilli Danda | Row 56
✅ Saved → SBQ | Gilli Danda | Row 57
✅ Saved → SBQ | Gilli Danda | Row 58
✅ Saved → SBQ | Gilli Danda | Row 59
✅ Saved → SBQ | Gilli Danda | Row 60
✅ Saved → SBQ | Gilli Danda | Row 61
✅ Saved → SBQ | Gilli Danda | Row 62
✅ Saved → SBQ | Gilli Danda | Row 63
✅ Saved → SBQ | Gilli Danda | Row 64
✅ Saved → SBQ | Gilli Danda | Row 65
✅ Saved → SBQ | Gilli Danda | Row 66
✅ Saved → SBQ | Gilli Danda | Row 67
✅ Saved → SBQ | Gilli Danda | Row 68
✅ Saved → SBQ | Gilli Danda | Row 69
✅ Saved → SBQ | Gilli Danda | Row 70
✅ Saved → SBQ | Gilli Danda | Row 71
✅ Saved → SBQ | Gilli Danda | Row 72
✅ Saved → SBQ | Gilli Danda | Row 73
✅ Saved → SBQ | Gilli Danda | Row 74
✅ Saved → SBQ | Gilli Danda | Row 75
✅ Saved → SBQ | Gilli Danda | Row 76
✅ Saved → SBQ | Gilli Danda | Row 77
✅ Saved → SBQ | Gilli Danda | Row 78
✅ Saved → SBQ | Gilli Danda | Row 79
✅ Saved → SBQ | Gilli Danda | Row 80
✅ Saved → SBQ | Gilli Danda | Row 81
✅ Saved → SBQ | Gilli Danda | Row 82
✅ Saved → SBQ | Gilli Danda | Row 83
✅ Saved → SBQ | Gilli Danda | Row 84
✅ Saved → SBQ | Gilli Danda | Row 85
✅ Saved → SBQ | Gilli Danda | Row 87
✅ Saved → SBQ | Gilli Danda | Row 88
✅ Saved → SBQ | Gilli Danda | Row 89
✅ Saved → SBQ | Gilli Danda | Row 90
✅ Saved → SBQ | Gilli Danda | Row 91
✅ Saved → SBQ | Gilli Danda | Row 92
✅ Saved → SBQ | Gilli Danda | Row 93
✅ Saved → SBQ | Gilli Danda | Row 94
✅ Saved → SBQ | Gilli Danda | Row 95
✅ Saved → SBQ | Gilli Danda | Row 96
✅ Saved → SBQ | Gilli Danda | Row 97
✅ Saved → SBQ | Gilli Danda | Row 99
✅ Saved → SBQ | Gilli Danda | Row 100
✅ Saved → SBQ | Gilli Danda | Row 101
✅ Saved → SBQ | Gilli Danda | Row 102
✅ Saved → SBQ | Gilli Danda | Row 103
✅ Saved → SBQ | Gilli Danda | Row 104
✅ Saved → SBQ | Gilli Danda | Row 105
✅ Saved → SBQ | Gilli Danda | Row 107
✅ Saved → SBQ | Gilli Danda | Row 108
✅ Saved → SBQ | Gilli Danda | Row 109
✅ Saved → SBQ | Gilli Danda | Row 110
✅ Saved → SBQ | Gilli Danda | Row 111
✅ Saved → SBQ | Gilli Danda | Row 114
✅ Saved → SBQ | Gilli Danda | Row 119
✅ Saved → SBQ | Gilli Danda | Row 120
✅ Saved → SBQ | Gilli Danda | Row 121
✅ Saved → SBQ | Gilli Danda | Row 124
✅ Saved → SBQ | Gilli Danda | Row 125
✅ Saved → SBQ | Gilli Danda | Row 126
✅ Saved → SBQ | Gilli Danda | Row 127
✅ Saved → SBQ | Gilli Danda | Row 128
✅ Saved → SBQ | Gilli Danda | Row 129
✅ Saved → SBQ | Gilli Danda | Row 132
✅ Saved → SBQ | Gilli Danda | Row 141
✅ Saved → SBQ | Gilli Danda | Row 148
✅ Saved → SBQ | Gilli Danda | Row 149
✅ Saved → SBQ | Tent Pegging | Row 0
✅ Saved → SBQ | Tent Pegging | Row 1
✅ Saved → SBQ | Tent Pegging | Row 2
✅ Saved → SBQ | Tent Pegging | Row 3
✅ Saved → SBQ | Tent Pegging | Row 4
✅ Saved → SBQ | Tent Pegging | Row 5
✅ Saved → SBQ | Tent Pegging | Row 6
✅ Saved → SBQ | Tent Pegging | Row 7
✅ Saved → SBQ | Tent Pegging | Row 8
✅ Saved → SBQ | Tent Pegging | Row 9
✅ Saved → SBQ | Tent Pegging | Row 10
✅ Saved → SBQ | Tent Pegging | Row 11
✅ Saved → SBQ | Tent Pegging | Row 12
✅ Saved → SBQ | Tent Pegging | Row 13
✅ Saved → SBQ | Tent Pegging | Row 14
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The question contains a factual error: 'انڈین فائل' (Indian File) is not a recognized term in sports. It appears to be a mistranslation or misinterpretation of 'Indian file' as a military or equestrian formation, but in the context of sports, especially horse-related disciplines like polo or cavalry drills, the term is incorrect. The correct term should be 'Indian file' as a marching or riding formation, but the question wrongly frames it as a team name. Additionally, option B uses 'پیگ' (peg), which is not a standard term in equestrian sports — likely meant to be 'کھنچ' (stroke) or 'گول' (goal), but in context of file formation, it's irrelevant. The entire question misrepresents the concept.",
  "improved_question": ""انڈین فائل" کی ایک اہم خصوصیت کیا ہے؟",
  "improved_options": [
    "A) چار سوار ایک لائن میں برابر چارج کرتے ہیں",
    "B) سوار ایک ہی لائن میں ��یک کے بعد ایک سوار ہوتے ہیں، ہر سوار الگ الگ وقت پر حرکت کرتا ہے",
    "C) یہ ریلے ریس ہے",
    "D) بھارت اور پاکستان کی ٹیمیں مقابلہ کرتی ہیں"
  ],
  "correct_answer": "B) سوار ایک ہی لائن میں ایک کے بعد ایک سوار ہوتے ہیں، ہر سوار الگ الگ وقت پر حرکت کرتا ہے"
}
✅ Saved → SBQ | Tent Pegging | Row 15
✅ Saved → SBQ | Tent Pegging | Row 16
✅ Saved → SBQ | Tent Pegging | Row 17
✅ Saved → SBQ | Tent Pegging | Row 18
✅ Saved → SBQ | Tent Pegging | Row 19
✅ Saved → SBQ | Tent Pegging | Row 20
✅ Saved → SBQ | Tent Pegging | Row 21
✅ Saved → SBQ | Tent Pegging | Row 22
✅ Saved → SBQ | Tent Pegging | Row 23
✅ Saved → SBQ | Tent Pegging | Row 24
✅ Saved → SBQ | Tent Pegging | Row 25
✅ Saved → SBQ | Tent Pegging | Row 26
✅ Saved → SBQ | Tent Pegging | Row 27
✅ Saved → SBQ | Tent Pegging | Row 28
✅ Saved → SBQ | Tent Pegging | Row 29
✅ Saved → SBQ | Tent Pegging | Row 30
✅ Saved → SBQ | Tent Pegging | Row 31
✅ Saved → SBQ | Tent Pegging | Row 32
✅ Saved → SBQ | Tent Pegging | Row 33
✅ Saved → SBQ | Tent Pegging | Row 34
✅ Saved → SBQ | Tent Pegging | Row 35
✅ Saved → SBQ | Tent Pegging | Row 36
✅ Saved → SBQ | Tent Pegging | Row 37
✅ Saved → SBQ | Tent Pegging | Row 38
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The question incorrectly refers to 'ٹینٹ پیگنگ' (tent pegging) as something practiced in Pakistan and calls it 'وراثت کا کھیل' (heritage game), but the term 'ٹینٹ پیگنگ' is not commonly used in Urdu/Punjabi contexts for this equestrian sport — the correct local term is 'ٹینٹ پیگنگ' is an English transliteration, but the cultural context is accurately described in option B. However, the main error is that 'ٹینٹ پیگنگ' is not a term typically used in Pakistan to describe the traditional equestrian sport; the correct and widely recognized term in Urdu is 'کھیل گھڑ سواری' or more specifically 'ٹینٹ پیگنگ' is understood but the question misrepresents it as a uniquely inherited practice without clarifying the actual traditional name. Also, option B is correct in content but the question’s phrasing is misleading because tent pegging is not uniquely called 'وراثت کا کھیل' in Pakistan — it is a recognized traditional sport. The bigger issue: tent pegging is not a Pakistani-specific heritage activity in the way implied; it is practiced across South Asia and the Middle East. However, the most critical factual error is that the correct answer (option B) is accurate, but the question's wording 'ٹینٹ پیگنگ کو "وراثت کا کھیل" سمجھا جانے کی بنیادی وجہ' is not how it is commonly referred to in Pakistan. The term 'وراثت کا کھیل' is not a standard label — it’s a description. The question should refer to the traditional name and context properly.",
  "improved_question": "پاکستان میں گھڑ سواری کے اس روایتی کھیل کو 'وراثت کا کھیل' سمجھا جانے کی بنیادی وجہ کیا ہے جو فوجی مہارتوں اور قدیم گھڑ سواری کو برقرار رکھتا ہے؟",
  "improved_options": [
    "A) یہ ایک پرانا اور فرسودہ کھیل ہے جو اب مقبول نہیں ہے",
    "B) یہ ایک زندہ روایت ہے جو قدیم گھڑ سواری اور فوجی مہارتوں کو محفوظ رکھتی ہے",
    "C) یہ صرف 60 سال سے زیادہ عمر کے لوگ کرتے ہیں",
    "D) یہ یونیسکو کی عالمی ثقافتی ورثہ کی سرگرمی ہے"
  ],
  "correct_answer": "ب) یہ ا��ک زندہ روایت ہے جو قدیم گھڑ سواری اور فوجی مہارتوں کو محفوظ رکھتی ہے۔"
}
✅ Saved → SBQ | Tent Pegging | Row 39
✅ Saved → SBQ | Tent Pegging | Row 40
✅ Saved → SBQ | Tent Pegging | Row 41
✅ Saved → SBQ | Tent Pegging | Row 42
✅ Saved → SBQ | Tent Pegging | Row 43
✅ Saved → SBQ | Tent Pegging | Row 44
✅ Saved → SBQ | Tent Pegging | Row 45
✅ Saved → SBQ | Tent Pegging | Row 46
✅ Saved → SBQ | Tent Pegging | Row 47
✅ Saved → SBQ | Tent Pegging | Row 48
✅ Saved → SBQ | Tent Pegging | Row 49
✅ Saved → SBQ | Tent Pegging | Row 50
✅ Saved → SBQ | Tent Pegging | Row 51
✅ Saved → SBQ | Tent Pegging | Row 52
✅ Saved → SBQ | Tent Pegging | Row 53
✅ Saved → SBQ | Tent Pegging | Row 54
✅ Saved → SBQ | Tent Pegging | Row 55
✅ Saved → SBQ | Tent Pegging | Row 56
✅ Saved → SBQ | Tent Pegging | Row 57
✅ Saved → SBQ | Tent Pegging | Row 58
✅ Saved → SBQ | Tent Pegging | Row 59
✅ Saved → SBQ | Tent Pegging | Row 60
✅ Saved → SBQ | Tent Pegging | Row 61
✅ Saved → SBQ | Tent Pegging | Row 62
✅ Saved → SBQ | Tent Pegging | Row 63
✅ Saved → SBQ | Tent Pegging | Row 64
✅ Saved → SBQ | Tent Pegging | Row 65
✅ Saved → SBQ | Tent Pegging | Row 66
✅ Saved → SBQ | Tent Pegging | Row 67
✅ Saved → SBQ | Tent Pegging | Row 68
✅ Saved → SBQ | Tent Pegging | Row 69
✅ Saved → SBQ | Tent Pegging | Row 70
✅ Saved → SBQ | Tent Pegging | Row 71
✅ Saved → SBQ | Tent Pegging | Row 72
✅ Saved → SBQ | Tent Pegging | Row 73
✅ Saved → SBQ | Tent Pegging | Row 74
✅ Saved → SBQ | Tent Pegging | Row 75
✅ Saved → SBQ | Tent Pegging | Row 76
✅ Saved → SBQ | Tent Pegging | Row 77
✅ Saved → SBQ | Tent Pegging | Row 78
✅ Saved → SBQ | Tent Pegging | Row 79
✅ Saved → SBQ | Tent Pegging | Row 80
✅ Saved → SBQ | Tent Pegging | Row 118
✅ Saved → SBQ | Tent Pegging | Row 119

✅ COMPLETE!
📄 Live-updating CSV: /DATA/rohan_kirti/country/pakistan/SBQ/Results_SBQ.csv
Ended at: 11:29:41
Total Duration: 0:58:33.459345
✅ Successfully created '/DATA/rohan_kirti/country/pakistan/SBQ/Results_SBQ.xlsx'
